LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
45957,NARRAGANSETT,RI,02882,813110,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,6,04/28/2020,The Washington Trust Company of Westerly,RI-02
45900,PAWTUCKET,RI,02860,922130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/09/2020,"Citizens Bank, National Association",RI-01
45900,PROVIDENCE,RI,02905,999990,Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-02
45900,JAMESTOWN,RI,02835,541110,Corporation,White,Female Owned,Non-Veteran,,3,04/15/2020,BankNewport,RI-01
45882,SAUNDERSTOWN,RI,02874,425120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/30/2020,BankNewport,RI-02
45875,PROVIDENCE,RI,02907,624110,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,5,04/09/2020,Pawtucket CU,RI-02
45865,PROVIDENCE,RI,02903,523930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,04/27/2020,Bank Rhode Island,RI-01
45847,WARWICK,RI,02888,999990,Corporation,Unanswered,Unanswered,Unanswered,,6,05/03/2020,"Bank of America, National Association",RI-02
45833,PROVIDENCE,RI,02908,541613,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,04/05/2020,BankNewport,RI-01
45812.5,SAUNDERSTOWN,RI,02874,523930,Sole Proprietorship,White,Female Owned,Non-Veteran,,1,04/29/2020,BankNewport,RI-02
45800,Cranston,RI,02921,722513,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/29/2020,"Citizens Bank, National Association",RI-02
45800,Lincoln,RI,02865,812199,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,5,04/27/2020,"CRF Small Business Loan Company, LLC",RI-01
45800,COVENTRY,RI,02816,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,04/07/2020,Centreville Bank,RI-02
45800,BRISTOL,RI,02809,236115,Subchapter S Corporation,White,Male Owned,Unanswered,,4,04/07/2020,BankNewport,RI-01
45800,BRISTOL,RI,02809,444120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,06/04/2020,Peoples CU,RI-01
45800,CUMBERLAND,RI,02864,999990,Corporation,Unanswered,Unanswered,Unanswered,,3,04/08/2020,Bristol County Savings Bank,RI-01
45765,PAWTUCKET,RI,02860,621391,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,2,04/10/2020,Pawtucket CU,RI-01
45764,PROVIDENCE,RI,02905,999990,Corporation,Unanswered,Unanswered,Unanswered,,3,05/03/2020,"Bank of America, National Association",RI-02
45753,WOONSOCKET,RI,02895,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/16/2020,"Bank of America, National Association",RI-01
45714,HARRISVILLE,RI,02830,621340,Corporation,Unanswered,Unanswered,Unanswered,,4,06/24/2020,Navigant CU,RI-01
45700,PORTSMOUTH,RI,02871,441222,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/11/2020,Berkshire Bank,RI-01
45700,Richmond,RI,02898,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
45700,Woonsocket,RI,02895,811111,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-01
45700,PORTSMOUTH,RI,02871,722511,Corporation,Unanswered,Unanswered,Unanswered,,17,04/15/2020,BankNewport,RI-01
45700,WARWICK,RI,02886,722513,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,12,04/09/2020,Navigant CU,RI-02
45690,RIVERSIDE,RI,02915,221118,Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,"Bank of America, National Association",RI-01
45671,SMITHFIELD,RI,02917,722511,Corporation,Unanswered,Unanswered,Unanswered,,12,06/17/2020,Customers Bank,RI-01
45635,PROVIDENCE,RI,02907,811111,Cooperative,Unanswered,Male Owned,Unanswered,,2,04/14/2020,The Washington Trust Company of Westerly,RI-02
45600,MIDDLETOWN,RI,02842,722320,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,20,06/10/2020,Berkshire Bank,RI-01
45600,Providence,RI,02882,922130,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/16/2020,"Citizens Bank, National Association",RI-02
45600,PROVIDENCE,RI,02903,541110,Corporation,White,Male Owned,Non-Veteran,,0,04/13/2020,HarborOne Bank,RI-01
45600,Wakefield,RI,02879,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/30/2020,"Citizens Bank, National Association",RI-02
45600,West Warwick,RI,02893,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
45600,WYOMING,RI,02898,447110,Corporation,White,Male Owned,Non-Veteran,,5,04/09/2020,Bank Rhode Island,RI-02
45600,Providence,RI,02907,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-02
45555.6,NEWPORT,RI,02840,541110,Partnership,Unanswered,Male Owned,Non-Veteran,,4,04/14/2020,BankNewport,RI-01
45548,WARWICK,RI,02886,811192,Partnership,Unanswered,Unanswered,Unanswered,,7,04/15/2020,The Washington Trust Company of Westerly,RI-02
45533,Riverside,RI,02915,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/03/2020,"TD Bank, National Association",RI-01
45520,WARREN,RI,02885,541410,Subchapter S Corporation,White,Male Owned,Unanswered,,3,04/14/2020,"Webster Bank, National Association",RI-01
45515,WOONSOCKET,RI,02895,442110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,05/13/2020,"Bank of America, National Association",RI-01
45500,CUMBERLAND,RI,02864,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,05/05/2020,Bank Rhode Island,RI-01
45500,Providence,RI,02903,531190,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45500,Riverside,RI,02915,541940,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/15/2020,"Citizens Bank, National Association",RI-01
45500,Westerly,RI,02891,332710,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-02
45500,NEWPORT,RI,02871,236118,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45500,Providence,RI,02903,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
45470,PORTSMOUTH,RI,02871,523930,Corporation,Unanswered,Male Owned,Non-Veteran,,3,04/14/2020,BankNewport,RI-01
45439,WARWICK,RI,02888,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/28/2020,HarborOne Bank,RI-02
45417,PROVIDENCE,RI,02903,541810,Partnership,Unanswered,Unanswered,Unanswered,,2,04/10/2020,Bank Rhode Island,RI-01
45413,WOONSOCKET,RI,02895,532111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,08/07/2020,Avidia Bank,RI-01
45405,LITTLE COMPTON,RI,02837,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,13,04/08/2020,BayCoast Bank,RI-01
45400,CUMBERLAND,RI,02864,444130,Corporation,Unanswered,Unanswered,Unanswered,,5,04/14/2020,Bristol County Savings Bank,RI-01
45400,LINCOLN,RI,02865,812990,Corporation,Unanswered,Unanswered,Unanswered,,5,04/07/2020,BankNewport,RI-01
45400,Pawtucket,RI,02860,327212,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-01
45395,WARREN,RI,02885,722410,Corporation,Unanswered,Unanswered,Unanswered,,7,05/03/2020,"Bank of America, National Association",RI-01
45355,Cranston,RI,02910,624120,Corporation,Unanswered,Unanswered,Unanswered,,7,04/28/2020,"Santander Bank, National Association",RI-02
45350,NARRAGANSETT,RI,02882,445299,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,10,05/08/2020,The Washington Trust Company of Westerly,RI-02
45307,JAMESTOWN,RI,02835,238130,Corporation,Unanswered,Unanswered,Unanswered,,3,04/29/2020,BankNewport,RI-01
45303,WARWICK,RI,02886,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,04/27/2020,"Webster Bank, National Association",RI-02
45300,Providence,RI,02907,443142,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
45300,Barrington,RI,02806,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-01
45300,Providence,RI,02909,921130,Corporation,Unanswered,Unanswered,Unanswered,,,04/29/2020,"Citizens Bank, National Association",RI-02
45300,PROVIDENCE,RI,02906,922130,Partnership,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45240,WARWICK,RI,02886,441222,Corporation,Unanswered,Male Owned,Non-Veteran,,2,05/03/2020,"Bank of America, National Association",RI-02
45240,PAWTUCKET,RI,02860,453310,Corporation,Unanswered,Male Owned,Non-Veteran,,6,05/03/2020,"Bank of America, National Association",RI-01
45224,WESTERLY,RI,02891,621320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/29/2020,"Webster Bank, National Association",RI-02
45200,JAMESTOWN,RI,02835,523930,Corporation,Unanswered,Unanswered,Unanswered,,2,04/10/2020,Bank Rhode Island,RI-01
45200,Providence,RI,02903,311999,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/27/2020,"Citizens Bank, National Association",RI-01
45200,HOPE VALLEY,RI,02832,812910,Corporation,White,Unanswered,Unanswered,,9,04/07/2020,Westerly Community CU,RI-02
45200,WEST WARWICK,RI,02893,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,04/07/2020,Bank Rhode Island,RI-02
45200,North Providence,RI,02904,524210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45200,Woonsocket,RI,02895,621210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45200,Warwick,RI,02886,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
45196.68,WAKEFIELD,RI,02879,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/15/2020,Navigant CU,RI-02
45180,Tiverton,RI,02878,713930,Corporation,Unanswered,Unanswered,Unanswered,,10,04/29/2020,"Santander Bank, National Association",RI-01
45152,WEST WARWICK,RI,02893,236115,Corporation,Unanswered,Male Owned,Unanswered,,2,04/29/2020,The Washington Trust Company of Westerly,RI-02
45147,WOONSOCKET,RI,02895,314999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,04/16/2020,"Bank of America, National Association",RI-01
45109,PASCOAG,RI,02859,541690,Corporation,Unanswered,Unanswered,Unanswered,,3,06/15/2020,"Bank of America, National Association",RI-02
45100,EAST PROVIDENCE,RI,02914,561311,Corporation,Unanswered,Male Owned,Non-Veteran,,6,04/11/2020,Bank Rhode Island,RI-01
45100,PROVIDENCE,RI,02909,812112,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,,06/01/2020,"Citizens Bank, National Association",RI-02
45100,NORTH SMITHFIELD,RI,02896,711190,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,18,04/28/2020,"Webster Bank, National Association",RI-01
45085,WARREN,RI,02885,453998,Corporation,Unanswered,Unanswered,Unanswered,,13,05/01/2020,"Bank of America, National Association",RI-01
45085,WARWICK,RI,02888,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,05/01/2020,Cross River Bank,RI-02
45066,CRANSTON,RI,02910,621210,Corporation,Unanswered,Unanswered,Unanswered,,7,05/03/2020,"Bank of America, National Association",RI-02
45045,CAROLINA,RI,02812,713910,Corporation,White,Female Owned,Unanswered,,7,04/11/2020,The Washington Trust Company of Westerly,RI-02
45000,WAKEFIELD,RI,02879,621111,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,3,04/10/2020,Berkshire Bank,RI-02
45000,Johnston,RI,02919,517919,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-02
45000,CUMBERLAND,RI,02864,811111,Corporation,White,Male Owned,Non-Veteran,,3,04/16/2020,Bristol County Savings Bank,RI-01
45000,Middletown,RI,02842,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/29/2020,"Citizens Bank, National Association",RI-01
45000,PROVIDENCE,RI,02909,484220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/29/2020,BankNewport,RI-02
45000,LINCOLN,RI,02865,236116,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/27/2020,"Citizens Bank, National Association",RI-01
45000,PROVIDENCE,RI,02903,541211,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,3,04/03/2020,Navigant CU,RI-01
45000,EAST GREENWICH,RI,02818,237990,Corporation,Unanswered,Unanswered,Unanswered,,4,04/06/2020,Bank Rhode Island,RI-02
45000,EAST PROVIDENCE,RI,02914,492210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,05/03/2020,"Bank of America, National Association",RI-01
45000,NORTH PROVIDENCE,RI,02911,236118,Corporation,Unanswered,Unanswered,Unanswered,,4,04/30/2020,"Bank of America, National Association",RI-01
45000,WARWICK,RI,02886,812990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/07/2020,Greenwood CU,RI-02
45000,WAKEFIELD,RI,02879,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/07/2020,BankNewport,RI-02
45000,WAKEFIELD,RI,02879,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/07/2020,Bank Rhode Island,RI-02
45000,PROVIDENCE,RI,02906,621340,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,4,04/28/2020,Greenwood CU,RI-01
45000,pawtucket,RI,02860,624410,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45000,Providence,RI,02940,423690,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45000,WAKEFIELD,RI,02879,541110,Partnership,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
45000,Providence,RI,02906,922130,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
45000,Warwick,RI,02818,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
45000,Harrisville,RI,02830,811111,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/28/2020,"Citizens Bank, National Association",RI-01
45000,Cumberland,RI,02864,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
45000,NORTH KINGSTOWN,RI,02852,621340,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,4,04/09/2020,Bank Rhode Island,RI-02
45000,CUMBERLAND,RI,02864,722513,Corporation,Unanswered,Unanswered,Unanswered,,12,04/09/2020,Navigant CU,RI-01
45000,East Greenwich,RI,02818,624410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/20/2020,"Citizens Bank, National Association",RI-02
44956,WESTERLY,RI,02891,722513,Corporation,Unanswered,Male Owned,Non-Veteran,,17,05/03/2020,"Bank of America, National Association",RI-02
44942,WARWICK,RI,02886,621111,Corporation,Unanswered,Unanswered,Unanswered,,4,04/28/2020,"Webster Bank, National Association",RI-02
44935,EAST PROVIDENCE,RI,02914,312111,Corporation,White,Male Owned,Unanswered,,6,04/15/2020,The Washington Trust Company of Westerly,RI-01
44911.33,CUMBERLAND,RI,02864,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,04/27/2020,Navigant CU,RI-01
44910,NEWPORT,RI,02840,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/03/2020,"Bank of America, National Association",RI-01
44900,PORTSMOUTH,RI,02871,236118,Corporation,Unanswered,Unanswered,Unanswered,,5,04/11/2020,Berkshire Bank,RI-01
44900,Newport,RI,02840,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/30/2020,"Citizens Bank, National Association",RI-01
44810,LINCOLN,RI,02865,238190,Corporation,Unanswered,Unanswered,Unanswered,,3,04/29/2020,Navigant CU,RI-01
44800,BARRINGTON,RI,02806,812113,Corporation,Unanswered,Unanswered,Unanswered,,8,06/25/2020,First IC Bank,RI-01
44800,MIDDLETOWN,RI,02842,445120,Corporation,Unanswered,Unanswered,Unanswered,,9,04/13/2020,BankNewport,RI-01
44800,TIVERTON,RI,02878,238140,Corporation,Unanswered,Unanswered,Unanswered,,13,04/14/2020,BankNewport,RI-01
44800,Johnston,RI,02919,524126,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44792,WESTERLY,RI,02891,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,04/15/2020,The Washington Trust Company of Westerly,RI-02
44777,MIDDLETOWN,RI,02842,999990,Corporation,White,Unanswered,Unanswered,,10,04/28/2020,BankNewport,RI-01
44773.52,LINCOLN,RI,02865,812112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,04/29/2020,Navigant CU,RI-01
44770,CRANSTON,RI,02920,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3,04/28/2020,Greenwood CU,RI-02
44735,North Scituate,RI,02857,519120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,04/30/2020,Navigant CU,RI-02
44700,WAKEFIELD,RI,02879,451110,Corporation,Unanswered,Male Owned,Unanswered,,32,04/05/2020,The Washington Trust Company of Westerly,RI-02
44700,CRANSTON,RI,02921,523930,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,3,04/07/2020,HarborOne Bank,RI-02
44700,HOPE,RI,02831,454310,Corporation,White,Female Owned,Non-Veteran,,6,04/07/2020,BankNewport,RI-02
44700,Providence,RI,02903,453220,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-01
44700,Providence,RI,02906,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
44700,NARRAGANSETT,RI,02882,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44700,WAKEFIELD,RI,02879,541191,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44700,westerly,RI,02891,561730,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44700,Warwick,RI,02886,811310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-02
44670,WAKEFIELD,RI,02879,713990,Corporation,White,Male Owned,Non-Veteran,,23,04/15/2020,"Webster Bank, National Association",RI-02
44626,NARRAGANSETT,RI,02882,561730,Corporation,Unanswered,Unanswered,Non-Veteran,,5,05/20/2020,"Bank of America, National Association",RI-02
44600,NORTH KINGSTOWN,RI,02852,447190,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,9,04/29/2020,Berkshire Bank,RI-02
44600,Providence,RI,02908,485991,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,05/11/2020,Customers Bank,RI-01
44600,TIVERTON,RI,02878,722513,Corporation,Unanswered,Unanswered,Unanswered,,11,04/27/2020,Bank Rhode Island,RI-01
44600,WARWICK,RI,02886,532310,Corporation,Unanswered,Unanswered,Unanswered,,6,05/12/2020,Centreville Bank,RI-02
44600,WAKEFIELD,RI,02879,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,12,04/28/2020,Bank Rhode Island,RI-02
44550,Warwick,RI,02888,331529,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,06/16/2020,"Santander Bank, National Association",RI-02
44540,WESTERLY,RI,02891,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,05/03/2020,"Bank of America, National Association",RI-02
44540,PROVIDENCE,RI,02904,562998,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,5,04/06/2020,Bank Rhode Island,RI-01
44530,CRANSTON,RI,02920,236115,Corporation,Unanswered,Unanswered,Unanswered,,5,04/07/2020,BankNewport,RI-02
44500,EAST GREENWICH,RI,02818,811111,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,6,04/11/2020,Bank Rhode Island,RI-02
44500,WARREN,RI,02885,447190,Corporation,Unanswered,Unanswered,Unanswered,,5,04/11/2020,Fall River Five Cents Savings Bank d/b/a BankFive,RI-01
44500,WOONSOCKET,RI,02895,337110,Cooperative,Unanswered,Unanswered,Unanswered,,3,04/07/2020,Dean Co-Operative Bank,RI-01
44500,WOONSOCKET,RI,02895,327991,Corporation,Unanswered,Unanswered,Unanswered,,4,04/15/2020,Dean Co-Operative Bank,RI-01
44500,Middletown,RI,02842,624410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
44500,Providence,RI,02904,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,05/03/2020,"Citizens Bank, National Association",RI-01
44487,South Kingstown,RI,02879,721199,Corporation,Unanswered,Unanswered,Unanswered,,,05/21/2020,Celtic Bank Corporation,RI-02
44485,WARWICK,RI,02888,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3,04/27/2020,The Washington Trust Company of Westerly,RI-02
44400,WARWICK,RI,02889,541219,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44400,Providence,RI,02908,511130,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
44400,SMITHFIELD,RI,02917,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/13/2020,Navigant CU,RI-01
44400,WEST WARWICK,RI,02893,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,04/27/2020,Centreville Bank,RI-02
44392,E GREENWICH,RI,02818,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/03/2020,"Bank of America, National Association",RI-02
44377,NEWPORT,RI,02840,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,4,04/05/2020,BankNewport,RI-01
44342,WOONSOCKET,RI,02895,445120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/15/2020,Navigant CU,RI-01
44335,WEST WARWICK,RI,02893,621330,Sole Proprietorship,White,Male Owned,Non-Veteran,,1,05/27/2020,HarborOne Bank,RI-02
44305,NORTH KINGSTOWN,RI,02852,624410,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,10,04/07/2020,BankNewport,RI-02
44300,Johnston,RI,02919,332119,Corporation,Unanswered,Unanswered,Unanswered,,,04/29/2020,"Citizens Bank, National Association",RI-02
44300,RIVERSIDE,RI,02915,484121,Corporation,Unanswered,Male Owned,Unanswered,,2,04/06/2020,Bank Rhode Island,RI-01
44300,Lincoln,RI,02865,561730,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,05/01/2020,"Citizens Bank, National Association",RI-01
44275,NEWPORT,RI,02840,453998,Corporation,Unanswered,Unanswered,Unanswered,,6,04/05/2020,BankNewport,RI-01
44234,CRANSTON,RI,02920,541810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",RI-02
44211,East Providence,RI,02914,541213,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3,05/12/2020,"Santander Bank, National Association",RI-01
44200,Newport,RI,02840,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
44200,Johnston,RI,02919,212321,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44200,warwick,RI,02886,812113,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
44200,CRANSTON,RI,02910,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/08/2020,Northern Bank and Trust Company,RI-02
44174.8,WESTERLY,RI,02891,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,07/24/2020,BankNewport,RI-02
44167,BARRINGTON,RI,02806,621340,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,4,04/14/2020,Navigant CU,RI-01
44166.67,PROVIDENCE,RI,02909,492210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,07/27/2020,Cross River Bank,RI-02
44158,Smithfiled,RI,02917,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/28/2020,HarborOne Bank,RI-01
44140.07,EXETER,RI,02822,312120,Corporation,White,Male Owned,Unanswered,,5,04/08/2020,The Washington Trust Company of Westerly,RI-02
44120,Bristol,RI,02809,541320,Corporation,Unanswered,Unanswered,Unanswered,,5,05/08/2020,St. Michael's Fall River FCU,RI-01
44120,WARWICK,RI,02886,423940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,04/28/2020,"Webster Bank, National Association",RI-02
44050,NORTH KINGSTOWN,RI,02852,541940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",RI-02
44042,WEST WARWICK,RI,02893,811111,Corporation,Hispanic,Male Owned,Non-Veteran,,5,04/11/2020,The Washington Trust Company of Westerly,RI-02
44000,TIVERTON,RI,02878,236115,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Fall River Five Cents Savings Bank d/b/a BankFive,RI-01
44000,East Providence,RI,02905,541613,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/30/2020,"Citizens Bank, National Association",RI-02
44000,COVENTRY,RI,02816,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,04/14/2020,Centreville Bank,RI-02
44000,EXETER,RI,02822,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
43975,NEWPORT,RI,02840,441222,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,5,04/05/2020,BankNewport,RI-01
43962,WARWICK,RI,02889,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/29/2020,The Washington Trust Company of Westerly,RI-02
43950,RIVERSIDE,RI,02915,999990,Corporation,White,Unanswered,Unanswered,,10,04/05/2020,BankNewport,RI-01
43900,PORTSMOUTH,RI,02871,334418,Corporation,Unanswered,Unanswered,Unanswered,,,04/29/2020,Peoples CU,RI-01
43900,WOONSOCKET,RI,02895,541211,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,0,04/04/2020,Bank Rhode Island,RI-01
43900,Providence,RI,02909,488510,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
