"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"0500000US48335","Mitchell County, Texas","8774","*****","5328","*****","4270","19","902","47","30","24","33","38","0","19","0","19","93","37","0","19","93","37","3446","*****","2616","244","62","55","19","18","0","19","0","19","629","226","120","84","109","83","11","16"
"0500000US48449","Titus County, Texas","32664","*****","18915","*****","15121","22","2970","182","75","49","253","88","0","28","13","22","483","196","14","19","469","191","13749","*****","8438","890","20","21","153","197","24","38","10","15","4984","876","120","114","99","110","21","25"
"0500000US48045","Briscoe County, Texas","1591","108","1078","109","964","108","27","18","0","13","0","13","16","18","0","13","71","26","0","13","71","26","513","118","478","118","0","13","0","13","0","13","0","13","12","11","23","20","8","10","15","17"
"0500000US48285","Lavaca County, Texas","19859","*****","16266","*****","14750","5","1312","80","8","12","74","21","0","21","3","5","119","81","13","20","106","80","3593","*****","763","205","35","33","0","21","0","21","0","21","2424","227","371","139","360","134","11","19"
"0500000US48291","Liberty County, Texas","79884","*****","62396","*****","52576","46","7972","294","269","116","454","110","5","8","65","80","1055","311","31","46","1024","320","17488","*****","12026","1032","7","13","40","50","0","31","12","15","5168","1029","235","160","227","159","8","19"
"0500000US48445","Terry County, Texas","12755","*****","5897","*****","5203","21","592","36","31","17","0","21","0","21","0","21","71","39","0","21","71","39","6858","*****","6210","183","65","63","9","16","0","21","0","21","400","153","174","119","149","114","25","33"
"0500000US48497","Wise County, Texas","63247","*****","51388","*****","49012","50","752","47","239","83","314","79","111","68","8","8","952","131","63","54","889","127","11859","*****","10303","494","4","6","12","15","0","31","11","18","1023","362","506","271","338","222","168","141"
"0500000US48143","Erath County, Texas","41016","*****","32577","*****","30923","80","673","114","200","115","314","36","15","26","12","18","440","168","50","77","390","166","8439","*****","6663","546","17","28","211","281","0","28","0","28","952","466","596","288","75","65","521","279"
"0500000US48039","Brazoria County, Texas","345995","*****","243280","*****","169835","155","44790","695","1054","317","21494","533","7","9","443","272","5657","902","88","70","5569","897","102715","*****","85871","1942","1037","471","871","528","122","102","14","17","12603","1870","2197","599","716","229","1481","524"
"0500000US48345","Motley County, Texas","1114","108","932","79","852","87","39","16","0","13","0","13","0","13","11","16","30","32","6","11","24","30","182","100","116","88","0","13","0","13","0","13","0","13","66","67","0","13","0","13","0","13"
"0500000US48129","Donley County, Texas","3433","*****","3068","*****","2809","13","126","36","23","22","16","17","0","13","0","13","94","31","0","13","94","31","365","*****","344","19","3","6","2","4","0","13","0","13","12","18","4","6","4","6","0","13"
"0500000US48013","Atascosa County, Texas","48139","*****","17554","*****","16480","65","353","104","55","63","186","56","0","28","12","22","468","136","63","63","405","131","30585","*****","27936","743","0","28","70","65","18","26","0","28","1332","443","1229","641","179","170","1050","641"
"0500000US48083","Coleman County, Texas","8422","*****","6957","*****","6512","19","231","71","64","32","70","18","0","19","0","19","80","83","0","19","80","83","1465","*****","1256","152","0","19","0","19","0","19","0","19","149","103","60","60","32","45","28","36"
"0500000US48353","Nolan County, Texas","14990","*****","9534","*****","8548","21","733","145","59","17","42","48","0","21","0","21","152","135","0","21","152","135","5456","*****","4572","311","21","26","44","43","0","21","2","4","711","272","106","69","55","46","51","45"
"0500000US48229","Hudspeth County, Texas","3702","*****","801","*****","684","13","55","32","0","13","44","31","0","13","0","13","18","25","0","13","18","25","2901","*****","2072","243","12","18","0","13","0","13","0","13","736","244","81","66","15","20","66","63"
"0500000US48325","Medina County, Texas","48548","*****","23664","*****","21624","82","1140","125","163","94","303","103","8","14","0","28","426","195","64","82","362","176","24884","*****","22296","680","80","100","106","115","11","17","0","28","1808","566","583","321","470","309","113","97"
"0500000US48475","Ward County, Texas","11498","*****","5497","*****","4758","14","553","65","64","25","32","38","0","21","15","14","75","54","0","21","75","54","6001","*****","4923","265","72","68","179","163","0","21","0","21","778","246","49","30","43","30","6","7"
"0500000US48213","Henderson County, Texas","79687","*****","70019","*****","62894","31","5224","141","684","131","528","38","53","51","33","31","603","194","5","8","598","193","9668","*****","8189","506","242","260","98","103","0","31","0","31","950","394","189","128","119","92","70","57"
"0500000US48203","Harrison County, Texas","66606","*****","58139","*****","42506","39","14192","179","209","136","468","90","27","43","33","39","704","263","2","6","702","261","8467","*****","6111","552","0","31","70","110","0","31","0","31","1844","561","442","276","384","268","58","55"
"0500000US48327","Menard County, Texas","2123","*****","1331","140","1252","141","13","17","12","14","0","13","0","13","0","13","54","41","11","18","43","33","792","140","453","138","1","2","19","26","0","13","0","13","163","108","156","104","86","89","70","50"
"0500000US48277","Lamar County, Texas","49401","*****","45712","*****","37039","47","6093","319","152","80","437","34","148","97","7","15","1836","334","26","44","1810","328","3689","*****","3058","225","46","49","0","28","0","28","31","37","307","163","247","133","108","88","139","110"
"0500000US48149","Fayette County, Texas","24963","*****","19865","*****","17951","13","1489","193","13","19","182","190","0","25","0","25","230","71","7","13","223","66","5098","*****","4620","215","0","25","0","25","0","25","0","25","444","199","34","37","30","36","4","9"
"0500000US48491","Williamson County, Texas","508313","*****","385926","*****","309652","296","30364","960","962","179","30611","667","323","157","896","296","13118","1188","465","151","12653","1192","122387","*****","100940","1872","1044","364","488","263","202","88","18","30","13526","1496","6169","890","2449","470","3720","721"
"0500000US48267","Kimble County, Texas","4432","*****","3383","141","3295","148","1","2","21","30","0","13","0","13","15","24","51","39","0","13","51","39","1049","141","718","166","0","13","12","15","0","13","2","5","261","125","56","52","56","52","0","13"
"0500000US48317","Martin County, Texas","5547","*****","3047","174","2977","179","36","36","26","29","0","19","5","7","0","19","3","5","0","19","3","5","2500","174","1623","249","0","19","100","124","0","19","5","9","747","233","25","37","25","37","0","19"
"0500000US48373","Polk County, Texas","46974","*****","40028","*****","33325","63","4895","149","694","108","289","90","61","56","42","63","722","184","0","28","722","184","6946","*****","6264","227","59","43","16","23","0","28","0","28","360","174","247","137","63","72","184","129"
"0500000US48391","Refugio County, Texas","7293","*****","3667","*****","3084","19","363","69","8","11","5","7","0","19","0","19","207","72","0","19","207","72","3626","*****","2723","227","24","31","7","8","0","19","0","19","596","232","276","145","3","5","273","146"
"0500000US48467","Van Zandt County, Texas","53607","*****","48097","*****","45206","63","1406","165","294","115","249","40","57","80","22","39","863","189","59","47","804","180","5510","*****","4913","187","35","41","52","58","0","31","0","31","353","156","157","97","22","24","135","95"
"0500000US48055","Caldwell County, Texas","40544","*****","20007","*****","16661","14","2458","109","86","48","393","21","23","32","0","28","386","108","12","14","374","107","20537","*****","14877","863","207","148","272","290","19","25","0","28","4750","871","412","193","173","97","239","151"
"0500000US48487","Wilbarger County, Texas","12972","*****","9262","*****","7708","25","1034","134","95","51","119","135","0","21","15","22","291","102","18","25","273","98","3710","*****","2825","313","58","48","131","79","0","21","0","21","639","272","57","61","44","57","13","21"
"0500000US48383","Reagan County, Texas","3735","*****","1115","142","1078","135","27","24","0","13","0","13","0","13","0","13","10","12","0","13","10","12","2620","142","659","248","0","13","0","13","0","13","0","13","1941","261","20","24","15","21","5","9"
"0500000US48501","Yoakum County, Texas","8481","*****","2965","*****","2813","107","0","19","13","19","3","5","0","19","0","19","136","104","0","19","136","104","5516","*****","5322","133","57","76","0","19","0","19","0","19","87","79","50","59","14","22","36","54"
"0500000US48189","Hale County, Texas","34527","*****","14236","*****","11938","38","1522","163","23","19","83","47","9","11","26","29","635","177","16","25","619","174","20291","*****","17645","644","173","193","180","197","0","28","0","28","1313","367","980","403","317","286","663","340"
"0500000US48419","Shelby County, Texas","25689","*****","21109","*****","15961","10","4837","254","40","58","140","230","21","33","7","10","103","69","0","25","103","69","4580","*****","4253","198","67","96","121","151","0","25","0","25","127","73","12","38","8","28","4","18"
"0500000US48387","Red River County, Texas","12353","*****","11456","*****","9035","21","2176","33","27","24","1","3","0","21","0","21","217","40","0","21","217","40","897","*****","752","122","0","21","21","38","0","21","0","21","101","108","23","23","0","21","23","23"
"0500000US48399","Runnels County, Texas","10266","*****","6792","*****","6394","10","134","69","37","37","109","92","0","21","5","7","113","82","5","8","108","81","3474","*****","3001","160","1","2","23","32","0","21","0","21","402","140","47","39","38","35","9","12"
"0500000US48407","San Jacinto County, Texas","27436","*****","24003","*****","20537","111","2932","281","131","191","2","4","0","25","0","25","401","258","68","111","333","234","3433","*****","3164","170","150","149","0","25","0","25","0","25","99","111","20","31","17","31","3","6"
"0500000US48435","Sutton County, Texas","3894","*****","1580","200","1528","200","3","4","0","13","0","13","40","52","0","13","9","13","0","13","9","13","2314","200","1171","235","19","29","9","15","0","13","0","13","1115","279","0","13","0","13","0","13"
"0500000US48451","Tom Green County, Texas","116906","*****","71499","*****","63505","142","4682","240","215","120","1338","190","45","43","137","102","1577","323","81","113","1496","310","45407","*****","35859","1235","369","176","177","96","83","63","0","31","7948","1124","971","409","719","374","252","166"
"0500000US48459","Upshur County, Texas","40506","*****","37243","*****","32704","74","3611","144","298","101","91","68","0","28","136","145","403","130","0","28","403","130","3263","*****","1633","345","50","55","13","19","0","28","0","28","1236","336","331","177","158","106","173","142"
"0500000US48469","Victoria County, Texas","91518","*****","49379","*****","41590","159","5331","228","137","94","971","188","0","31","171","141","1179","311","54","73","1125","303","42139","*****","38435","695","364","211","118","123","25","31","60","100","2490","587","647","227","323","145","324","155"
"0500000US48473","Waller County, Texas","48443","*****","34213","*****","20853","64","12041","311","36","46","351","64","20","27","66","75","846","304","13","21","833","303","14230","*****","10453","936","200","170","129","96","58","68","0","28","2921","885","469","281","264","232","205","158"
"0500000US48481","Wharton County, Texas","41430","*****","24748","*****","18756","45","5725","157","28","31","38","45","0","28","33","45","168","136","0","28","168","136","16682","*****","14961","417","192","153","0","28","0","28","0","28","1331","368","198","151","142","142","56","54"
"0500000US48485","Wichita County, Texas","131778","*****","107355","*****","87142","155","13018","414","773","174","2668","232","48","36","477","183","3229","445","41","39","3188","448","24423","*****","16046","822","571","193","557","270","149","108","3","6","5041","789","2056","515","778","278","1278","478"
"0500000US48493","Wilson County, Texas","47205","*****","28717","*****","27225","63","634","74","85","59","163","85","32","47","57","63","521","115","0","28","521","115","18488","*****","16951","366","25","21","39","43","20","30","0","28","795","266","658","266","176","85","482","252"
"0500000US48033","Borden County, Texas","602","105","556","105","556","105","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","46","28","46","28","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13"
"0500000US48219","Hockley County, Texas","23273","*****","12352","*****","11112","11","849","61","131","24","45","35","12","19","8","11","195","65","0","25","195","65","10921","*****","9721","281","25","24","118","147","3","4","0","25","753","249","301","124","194","107","107","55"
"0500000US48315","Marion County, Texas","10140","*****","9746","*****","7187","21","2402","85","34","22","0","21","17","25","0","21","106","83","0","21","106","83","394","*****","228","101","0","21","0","21","0","21","0","21","166","101","0","21","0","21","0","21"
"0500000US48323","Maverick County, Texas","57471","*****","2704","*****","1521","84","129","123","666","233","253","243","32","40","64","84","39","62","0","31","39","62","54767","*****","52128","733","83","103","77","61","0","31","0","31","2230","659","249","153","167","138","82","93"
"0500000US48329","Midland County, Texas","159883","*****","90759","*****","75630","181","9374","464","608","194","2913","196","74","47","146","179","2014","571","25","27","1989","572","69124","*****","56686","1713","574","382","136","98","189","152","0","31","10063","1631","1476","428","613","235","863","342"
"0500000US48181","Grayson County, Texas","126146","*****","110147","*****","96360","263","6995","330","1614","198","1665","153","62","24","217","261","3234","403","54","35","3180","406","15999","*****","13436","568","60","41","81","55","12","19","13","22","1894","569","503","180","256","133","247","120"
"0500000US48297","Live Oak County, Texas","12043","*****","7374","*****","6941","168","293","103","0","21","78","99","0","21","0","21","62","81","0","21","62","81","4669","*****","4013","317","11","20","19","25","0","21","0","21","477","294","149","91","79","43","70","86"
"0500000US48299","Llano County, Texas","20195","*****","18212","*****","17593","4","150","189","28","41","77","72","0","25","1","4","363","195","0","25","363","195","1983","*****","1318","238","5","12","163","190","0","25","0","25","265","176","232","169","98","98","134","121"
"0500000US48363","Palo Pinto County, Texas","28109","*****","22570","*****","21203","44","681","73","175","49","177","56","24","24","34","44","276","97","0","25","276","97","5539","*****","4600","346","0","25","16","20","0","25","0","25","728","331","195","89","127","69","68","66"
"0500000US48147","Fannin County, Texas","33787","*****","30207","*****","26834","31","2189","102","150","48","224","29","18","20","21","31","771","116","4","6","767","118","3580","*****","2749","231","0","28","33","30","9","18","0","28","608","196","181","85","47","34","134","82"
"0500000US48255","Karnes County, Texas","15051","*****","7086","*****","5684","21","1316","64","15","19","16","17","0","21","0","21","55","56","0","21","55","56","7965","*****","4673","417","12","12","0","21","0","21","0","21","3128","412","152","95","79","68","73","65"
"0500000US48123","DeWitt County, Texas","20474","*****","13412","*****","11383","15","1852","138","0","25","1","3","0","25","0","25","176","139","5","15","171","138","7062","*****","2505","465","43","47","144","171","0","25","0","25","4078","534","292","183","279","184","13","22"
"0500000US48041","Brazos County, Texas","214231","*****","160535","*****","121439","106","21819","413","238","109","12857","268","83","57","214","116","3885","553","125","78","3760","537","53696","*****","38823","1551","415","164","652","499","70","72","0","31","10968","1551","2768","724","573","188","2195","702"
"0500000US48059","Callahan County, Texas","13660","*****","12411","*****","11862","21","201","111","8","12","33","28","0","21","0","21","307","109","0","21","307","109","1249","*****","1061","110","0","21","0","21","0","21","0","21","143","106","45","41","35","40","10","10"
"0500000US48067","Cass County, Texas","30118","*****","28812","*****","23015","28","5106","165","4","8","128","59","14","21","2","6","543","174","0","28","543","174","1306","*****","591","199","70","82","30","24","0","28","0","28","590","197","25","37","9","13","16","32"
"0500000US48165","Gaines County, Texas","19889","*****","11823","*****","11198","50","452","42","28","33","91","9","8","13","31","50","15","19","0","21","15","19","8066","*****","7409","295","32","51","14","34","0","21","0","21","503","277","108","105","51","82","57","68"
"0500000US48183","Gregg County, Texas","123402","*****","100953","*****","71967","57","24790","347","385","127","1679","172","64","99","138","100","1930","370","15","23","1915","371","22449","*****","19789","781","311","246","37","60","16","26","0","31","1473","679","823","424","384","396","439","245"
"0500000US48179","Gray County, Texas","22962","*****","16550","*****","14807","25","981","85","203","50","162","7","21","28","0","25","376","104","0","25","376","104","6412","*****","4713","394","58","48","185","126","0","25","0","25","1254","363","202","106","84","69","118","80"
"0500000US48313","Madison County, Texas","13979","*****","10845","*****","7794","21","2428","183","17","25","159","161","22","30","0","21","425","147","9","16","416","144","3134","*****","2407","206","9","16","9","16","0","21","0","21","534","210","175","70","54","27","121","62"
"0500000US48303","Lubbock County, Texas","298042","*****","195272","*****","162449","187","20465","619","1051","193","6110","393","196","53","320","183","4681","828","110","57","4571","811","102770","*****","77076","2105","1222","354","2020","733","263","212","4","6","18658","2031","3527","657","2324","473","1203","352"
"0500000US48237","Jack County, Texas","8839","*****","7400","*****","6889","19","395","44","33","22","11","16","0","19","12","27","60","33","0","19","60","33","1439","*****","1262","100","8","12","0","19","0","19","0","19","144","80","25","32","25","32","0","19"
"0500000US48257","Kaufman County, Texas","114852","*****","92035","*****","76486","23","11926","301","491","198","1239","117","67","53","166","176","1660","341","37","44","1623","336","22817","*****","17978","926","135","132","14","24","0","31","14","15","3542","781","1134","356","760","333","374","160"
"0500000US48259","Kendall County, Texas","40306","*****","31021","*****","29661","28","278","106","12","21","289","139","33","41","0","28","748","151","0","28","748","151","9285","*****","6983","605","39","64","213","188","0","28","0","28","1251","466","799","335","144","160","655","327"
"0500000US48035","Bosque County, Texas","17955","*****","14801","*****","14127","7","246","82","59","45","57","38","0","21","0","21","312","86","4","7","308","86","3154","*****","2797","146","10","14","7","8","0","21","0","21","280","145","60","30","40","23","20","21"
"0500000US48153","Floyd County, Texas","5953","*****","2513","*****","2258","19","149","43","12","21","15","15","0","19","0","19","79","45","0","19","79","45","3440","*****","3339","60","13","22","0","19","0","19","0","19","79","58","9","13","0","19","9","13"
"0500000US48029","Bexar County, Texas","1892004","*****","761055","*****","537451","631","133212","1257","2866","452","49745","1103","1772","285","2844","569","33165","1930","2013","440","31152","1794","1130949","*****","964828","4507","9453","1180","9130","1400","1666","347","477","208","119083","4128","26312","1872","12116","1258","14196","1280"
"0500000US48017","Bailey County, Texas","7098","*****","2651","215","2459","196","108","82","5","11","63","69","16","23","0","19","0","19","0","19","0","19","4447","215","3627","423","7","14","2","5","0","19","0","19","802","399","9","19","9","19","0","19"
"0500000US48071","Chambers County, Texas","39283","*****","30887","*****","26720","28","3154","182","42","47","506","50","0","28","0","28","465","199","0","28","465","199","8396","*****","7609","488","0","28","0","28","0","28","0","28","755","485","32","31","11","22","21","22"
"0500000US48023","Baylor County, Texas","3602","*****","3237","142","3020","151","116","84","0","13","0","13","0","13","0","13","101","69","0","13","101","69","365","142","275","145","8","14","0","13","0","13","0","13","70","52","12","13","12","13","0","13"
"0500000US48027","Bell County, Texas","336506","*****","255660","*****","158932","108","70588","1029","977","237","9378","587","2348","93","325","151","13112","1152","90","56","13022","1155","80846","*****","56776","2143","5731","1363","1595","595","360","172","159","107","12101","1613","4124","603","1601","273","2523","527"
"0500000US48061","Cameron County, Texas","420201","*****","44945","*****","39240","131","1560","159","514","102","2706","189","19","32","150","123","756","233","52","59","704","224","375256","*****","355559","2035","426","156","583","224","136","90","36","34","15598","1722","2918","842","2062","657","856","324"
"0500000US48121","Denton County, Texas","781321","*****","632035","*****","475452","577","70796","1048","2289","362","60788","758","579","75","1602","578","20529","1464","1111","411","19418","1383","149286","*****","117288","2218","1598","547","989","298","481","234","35","41","23084","1996","5811","823","3418","638","2393","476"
"0500000US48361","Orange County, Texas","83909","*****","77963","*****","68273","86","6928","246","240","99","946","94","3","5","78","68","1495","275","43","56","1452","275","5946","*****","5369","219","9","13","20","33","31","49","0","31","376","176","141","93","45","56","96","75"
"0500000US48233","Hutchinson County, Texas","21704","*****","16817","*****","15474","15","431","133","286","84","120","29","69","81","6","10","431","148","10","12","421","146","4887","*****","3647","370","36","38","58","64","11","14","0","25","758","331","377","167","173","109","204","131"
"0500000US48477","Washington County, Texas","34667","*****","29295","*****","22344","11","5882","280","93","101","612","29","41","62","0","28","323","252","5","11","318","252","5372","*****","4673","273","29","45","99","129","15","20","0","28","456","218","100","72","78","66","22","33"
"0500000US48343","Morris County, Texas","12530","*****","11382","*****","8159","21","2953","84","46","51","13","15","8","14","0","21","203","93","0","21","203","93","1148","*****","464","116","19","19","4","7","0","21","0","21","536","154","125","85","78","71","47","48"
"0500000US48429","Stephens County, Texas","9365","*****","7189","*****","6756","31","204","64","58","77","44","41","0","19","20","31","107","80","0","19","107","80","2176","*****","1678","254","0","19","30","51","0","19","0","19","318","198","150","167","8","11","142","169"
"0500000US48495","Winkler County, Texas","7777","*****","3158","*****","2870","19","181","109","67","96","0","19","0","19","0","19","40","54","0","19","40","54","4619","*****","4042","279","112","142","17","35","0","19","0","19","358","241","90","91","17","16","73","89"
"0500000US48201","Harris County, Texas","4525519","*****","2614984","*****","1386576","1079","838285","1998","8078","924","307109","1795","2543","244","9681","1350","62712","2537","3651","701","59061","2395","1910535","*****","1477712","9832","18837","1994","11387","1594","2291","593","548","316","359168","9240","40592","2937","20764","1944","19828","1944"
"0500000US48003","Andrews County, Texas","17577","*****","7840","*****","7229","12","265","186","16","29","37","63","9","19","0","21","284","149","6","12","278","147","9737","*****","8905","310","102","119","0","21","0","21","0","21","687","307","43","51","26","41","17","27"
"0500000US48053","Burnet County, Texas","45017","*****","35160","*****","33365","12","696","257","276","95","328","20","0","28","0","28","495","288","7","12","488","288","9857","*****","8934","427","0","28","15","17","0","28","0","28","752","425","156","103","73","64","83","73"
"0500000US48171","Gillespie County, Texas","25939","*****","20090","*****","19614","11","20","29","3","6","31","43","0","25","0","25","422","53","7","11","415","50","5849","*****","4417","471","14","23","628","443","0","25","0","25","293","182","497","353","32","36","465","350"
"0500000US48177","Gonzales County, Texas","20558","*****","10265","*****","8703","25","1369","94","14","22","36","36","5","9","0","25","138","77","0","25","138","77","10293","*****","2895","544","27","43","23","25","0","25","0","25","7048","557","300","161","208","106","92","121"
"0500000US48113","Dallas County, Texas","2552213","*****","1540839","*****","771258","497","563220","1981","4450","528","152045","904","1098","134","4485","860","44283","2144","2616","656","41667","2054","1011374","*****","793917","6159","9271","1453","3860","732","1169","316","296","173","178348","5565","24513","1910","13252","1311","11261","1582"
"0500000US48305","Lynn County, Texas","5785","*****","3057","*****","2853","19","77","74","27","36","15","17","0","19","0","19","85","75","0","19","85","75","2728","*****","1933","193","18","26","19","13","0","19","0","19","523","170","235","95","212","94","23","23"
"0500000US48311","McMullen County, Texas","600","182","297","132","292","130","0","13","5","11","0","13","0","13","0","13","0","13","0","13","0","13","303","140","277","135","0","13","0","13","0","13","0","13","26","24","0","13","0","13","0","13"
"0500000US48503","Young County, Texas","18166","*****","14883","*****","14306","21","271","110","94","79","75","32","0","21","0","21","137","108","0","21","137","108","3283","*****","3053","197","0","21","33","44","0","21","0","21","197","198","0","21","0","21","0","21"
"0500000US48505","Zapata County, Texas","14415","*****","855","*****","753","127","0","21","0","21","102","127","0","21","0","21","0","21","0","21","0","21","13560","*****","12928","381","122","179","0","21","0","21","0","21","510","336","0","21","0","21","0","21"
"0500000US48251","Johnson County, Texas","160173","*****","127698","*****","117957","122","4506","346","664","172","1219","193","588","67","91","84","2673","499","91","95","2582","478","32475","*****","28588","945","74","63","275","196","34","30","5","10","2547","596","952","757","376","178","576","723"
"0500000US48221","Hood County, Texas","55418","*****","48777","*****","46999","79","384","85","482","95","446","75","0","31","0","31","466","172","55","79","411","154","6641","*****","5886","358","20","28","41","52","23","36","8","14","446","324","217","153","140","116","77","80"
"0500000US48223","Hopkins County, Texas","35929","*****","30070","*****","26577","53","2390","142","74","71","254","37","27","27","35","53","713","171","6","9","707","171","5859","*****","3595","510","32","47","25","36","0","28","0","28","2139","496","68","55","56","47","12","20"
"0500000US48309","McLennan County, Texas","245720","*****","182710","*****","139446","168","34865","516","465","158","3713","278","32","34","269","188","3920","647","114","98","3806","628","63010","*****","50261","1289","628","236","734","419","115","129","51","67","9347","1126","1874","537","1006","315","868","382"
"0500000US48357","Ochiltree County, Texas","10484","*****","4931","*****","4662","21","18","28","69","59","20","26","0","21","0","21","162","74","0","21","162","74","5553","*****","4586","358","32","43","132","118","2","4","0","21","610","317","191","145","113","120","78","80"
"0500000US48269","King County, Texas","289","88","212","60","212","60","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","77","62","76","62","0","13","0","13","0","13","0","13","1","1","0","13","0","13","0","13"
"0500000US48275","Knox County, Texas","3753","*****","2498","*****","2228","13","225","40","5","11","6","7","0","13","0","13","34","37","0","13","34","37","1255","*****","1019","92","0","13","22","21","0","13","0","13","187","79","27","24","26","23","1","2"
"0500000US48073","Cherokee County, Texas","51594","*****","39989","*****","31603","15","6991","243","264","91","302","31","0","31","12","19","817","267","9","15","808","264","11605","*****","10304","452","63","65","63","56","15","21","0","31","716","340","444","312","372","291","72","64"
"0500000US48095","Concho County, Texas","3858","*****","1812","*****","1731","41","26","25","4","8","38","22","0","13","0","13","13","18","0","13","13","18","2046","*****","2021","23","5","9","4","7","0","13","0","13","12","13","4","9","4","9","0","13"
"0500000US48119","Delta County, Texas","5172","*****","4815","*****","4214","4","411","43","9","21","38","35","0","19","2","4","141","29","0","19","141","29","357","*****","245","75","0","19","0","19","0","19","0","19","46","46","66","64","66","64","0","19"
"0500000US48137","Edwards County, Texas","2111","182","910","235","909","234","0","13","1","3","0","13","0","13","0","13","0","13","0","13","0","13","1201","243","1179","245","0","13","0","13","0","13","0","13","22","25","0","13","0","13","0","13"
"0500000US48133","Eastland County, Texas","18278","*****","15355","*****","14595","21","411","173","76","64","44","60","0","21","0","21","229","210","0","21","229","210","2923","*****","2202","358","0","21","3","8","0","21","0","21","688","355","30","52","30","52","0","21"
"0500000US48253","Jones County, Texas","19969","*****","14545","*****","10940","341","2892","305","28","25","59","41","0","21","43","45","583","141","27","26","556","145","5424","*****","2698","341","39","26","159","65","8","16","0","21","2176","329","344","115","268","100","76","40"
"0500000US48243","Jeff Davis County, Texas","2236","*****","1426","215","1361","196","15","12","3","8","33","58","0","13","0","13","14","18","0","13","14","18","810","215","787","224","0","13","7","11","0","13","0","13","16","21","0","13","0","13","0","13"
"0500000US48247","Jim Hogg County, Texas","5262","*****","324","181","309","173","0","19","0","19","0","19","0","19","0","19","15","29","0","19","15","29","4938","181","4832","183","2","4","2","4","0","19","0","19","80","85","22","29","22","29","0","19"
"0500000US48249","Jim Wells County, Texas","41318","*****","8167","*****","7556","23","214","106","36","45","231","148","48","63","15","23","67","73","0","28","67","73","33151","*****","32175","364","32","37","64","74","6","10","0","28","781","330","93","90","56","68","37","56"
"0500000US48339","Montgomery County, Texas","535187","*****","412253","*****","363190","387","23915","625","746","250","14823","471","462","77","673","328","8444","849","325","204","8119","817","122934","*****","99340","2643","946","414","979","484","128","100","0","31","17453","2525","4088","840","1132","389","2956","820"
"0500000US48111","Dallam County, Texas","7207","*****","4050","*****","3692","53","124","38","84","10","63","16","0","19","34","53","53","48","0","19","53","48","3157","*****","2860","167","4","6","9","16","0","19","0","19","116","81","168","129","121","115","47","66"
"0500000US48127","Dimmit County, Texas","10822","*****","1460","*****","1429","36","6","6","0","21","21","36","0","21","0","21","4","7","4","7","0","21","9362","*****","8706","439","0","21","0","21","0","21","0","21","656","439","0","21","0","21","0","21"
"0500000US48479","Webb County, Texas","269624","*****","12142","*****","9382","175","736","65","154","25","1343","145","25","37","175","173","327","155","30","36","297","147","257482","*****","247238","1279","353","164","431","218","64","53","0","31","8324","1191","1072","282","611","210","461","197"
"0500000US48157","Fort Bend County, Texas","711421","*****","539472","*****","244432","320","143866","1045","1351","538","136748","979","117","99","1091","337","11867","1469","1608","698","10259","1282","171949","*****","127383","3589","2753","1180","715","464","860","322","44","49","34375","3445","5819","1233","2948","794","2871","932"
"0500000US48011","Armstrong County, Texas","1929","117","1737","111","1671","108","24","20","26","22","0","13","0","13","0","13","16","15","0","13","16","15","192","61","150","58","15","22","0","13","0","13","0","13","19","17","8","11","1","3","7","12"
"0500000US48069","Castro County, Texas","7891","*****","2852","*****","2595","9","54","43","6","7","93","56","2","3","10","14","92","44","0","19","92","44","5039","*****","4714","165","0","19","6","9","0","19","0","19","262","159","57","56","14","22","43","51"
"0500000US48235","Irion County, Texas","1592","142","1228","139","1153","139","51","46","0","13","0","13","0","13","0","13","24","28","0","13","24","28","364","101","159","102","0","13","0","13","0","13","0","13","200","84","5","9","5","9","0","13"
"0500000US48273","Kleberg County, Texas","31540","*****","8721","*****","6618","53","1098","182","40","46","632","48","0","28","45","53","288","185","0","28","288","185","22819","*****","20983","481","94","93","97","78","0","28","0","28","1331","459","314","171","109","66","205","158"
"0500000US48489","Willacy County, Texas","21839","*****","2631","*****","2415","99","142","87","2","3","22","25","3","4","0","25","47","58","0","25","47","58","19208","*****","18535","280","17","28","37","35","0","25","0","25","571","276","48","41","42","40","6","8"
"0500000US48097","Cooke County, Texas","39064","*****","32290","*****","29844","28","976","179","259","93","337","34","60","76","25","45","789","207","0","28","789","207","6774","*****","5983","237","6","12","25","25","0","28","0","28","444","108","316","187","44","47","272","182"
"0500000US48107","Crosby County, Texas","5895","*****","2629","*****","2358","19","218","43","0","19","0","19","0","19","0","19","53","44","0","19","53","44","3266","*****","3039","87","24","24","0","19","0","19","0","19","157","64","46","44","46","44","0","19"
